CellV [A^3],Df,NASA [m^2/cm^3],total_POV_gravimetric,mc_CRY-chi-0-all,mc_CRY-chi-1-all,mc_CRY-chi-3-all,mc_CRY-Z-0-all,mc_CRY-S-0-all,D_mc_CRY-S-2-all,sum-mc_CRY-Z-1-all,sum-D_mc_CRY-T-3-all,lc-chi-3-all,lc-Z-2-all,lc-alpha-0-all,D_lc-chi-1-all,D_lc-chi-3-all,D_lc-T-1-all,D_lc-T-3-all,D_lc-S-1-all,D_lc-alpha-2-all,func-chi-0-all,func-Z-1-all,func-T-3-all,D_func-chi-3-all,D_func-T-1-all,D_func-T-3-all,f-lig-T-1,sum-D_lc-Z-2-all,sum-D_lc-Z-3-all,sum-D_lc-T-3-all,sum-func-Z-0-all,sum-D_func-chi-2-all,sum-D_func-T-2-all,sum-f-lig-Z-3,MNC,MPC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_methane_widomHOA,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000,temperature,solvent1,solvent2,solvent3,additive,param3,param4,param5,additive_category,time
7933.84,6.17998,0.0,0.781106,3.61,26.144,45.524,841.0,1.9044,2.44,7424.0,96.0,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,96.0,28.0,4.45,-1.0,-4.0,3044.0,4.0,8.0,-8.0,128.0,5.34,-4.0,45264.0,-0.428,0.905,4.28e-05,-18.55183911,1.48e-05,-14.19604077,0.600434285,4.690902451,80.0,962.0,6228.0,0.0,313.0,0.223050174,0.00903938,-0.016303948,2.0,18.0
1216.84,2.48697,163.821,0.0864345,3.5344,32.336,64.4464,729.0,1.5876,1.96,6480.0,176.0,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,48.0,6.0,1.78,-2.0,-4.0,216.0,8.0,16.0,-16.0,256.0,3.56,-8.0,7976.0,-0.58,1.175,0.00186255,-42.20366378,7.99e-06,-20.50756952,3.120177671,1.256065558,160.0,962.0,0.0,0.0,14798.0,-0.110283159,0.083073132,-0.129610464,0.0,72.0
3183.18,3.35897,328.117,0.116763,2.8561,22.2404,49.39025,2304.0,2.1904,3.905,5856.0,84.0,19.08,106.0,39.52,0.928571429,1.947142857,-2.0,-1.857142857,-0.04,-4.285714286,6.762057143,30.0952381,10.0952381,1.61047619,-0.476190476,-2.619047619,480.8571429,50.0,55.0,-13.0,256.0,5.636666667,-8.0,23358.0,-0.457,1.202,0.00238746,-41.45547684,2.76e-05,-21.55886039,2.398042596,1.885787996,120.0,962.0,6228.0,0.0,0.0,-0.110283159,-0.003003152,0.082883502,1.0,72.0
2929.56,4.14842,0.616018,0.163383,2.06802,19.73184,49.59228,6951.2,2.65522,2.248,25472.0,160.0,31.9232,176.0,28.09,1.25,2.76,-3.0,-7.0,-0.33,-6.0,8.080266667,280.5333333,24.93333333,-0.601333333,4.133333333,12.4,200.0,16.0,-12.0,-56.0,1198.933333,1.770666667,0.533333333,25024.0,-0.762,1.213,2.3e-05,-26.99961892,3.24e-06,-14.41891337,0.328620406,1.239806763,180.0,962.0,0.0,0.0,944.0,-0.110283159,0.083073132,-0.129610464,2.0,48.0
3682.53,5.85474,0.0,0.130691,1.4884,34.6724,52.59013333,4356.0,2.7889,8.106666667,26136.0,586.0,23.80065,119.875,43.07125,0.729,1.70225,-1.7,-2.35,-0.0315,-6.0,1.3172,14.0,0.0,0.0,0.25,0.0,215.25,68.4,90.8,-37.6,113.0,0.0,0.0,22976.0,-0.552,1.882,1.77e-05,-22.553596,5.67e-06,-16.99365407,0.224989477,1.088535786,85.0,962.0,6228.0,702.0,0.0,-0.110283159,-0.003003152,0.082883502,1.0,48.0
3221.47,3.64523,415.713,0.185454,2.4025,24.88266667,43.32766667,625.0,1.9321,2.893333333,11200.0,336.0,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,11.8336,48.0,6.0,1.78,-2.0,-4.0,240.0,16.0,32.0,-32.0,512.0,7.12,-16.0,20544.0,-0.494,1.32,0.0734801,-50.30296684,9e-06,-17.55195657,5.743681493,2.6032273,100.0,962.0,6228.0,0.0,313.0,-0.110283159,-0.003003152,0.082883502,2.0,72.0
11671.6,4.44127,0.0,0.53451,3.61,26.144,45.524,841.0,1.9044,2.44,5568.0,72.0,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,6024.0,2.0,4.0,-4.0,0.0,0.0,0.0,36720.0,-0.408,0.904,0.00037232,-31.70833162,0.000156208,-28.74105622,2.37558794,6.959950453,80.0,962.0,6228.0,6342.0,313.0,-0.110283159,-0.031695247,0.153714824,2.0,48.0
1650.56,4.25541,0.0,0.077474,3.61,34.656,86.1004,841.0,1.9044,7.512,12180.0,504.0,4.087111111,96.44444444,54.76,0.190555556,0.513333333,-0.388888889,0.611111111,-0.007777778,-1.255555556,6.161066667,60.66666667,0.0,0.0,-0.666666667,0.0,54.0,53.0,66.0,11.0,588.0,10.08,12.0,504.0,-0.259,0.874,1.03e-05,-22.32191627,3.18e-06,-17.63717923,0.133901128,0.728172417,150.0,962.0,0.0,0.0,0.0,-0.110283159,0.083073132,-0.129610464,1.0,72.0
4651.47,4.01932,385.957,0.1520232,2.8561,30.9608,66.67613333,2304.0,2.1904,4.733333333,24480.0,570.0,19.44141176,104.5882353,42.20941176,0.937647059,1.986470588,-2.0,-1.352941176,-0.04,-3.882352941,1.392188235,5.647058824,0.705882353,0.209411765,-0.235294118,-0.470588235,238.2352941,142.0,149.0,-23.0,128.0,1.78,-4.0,27944.0,-0.495,1.236,0.000390359,-33.92835736,5.22e-05,-22.95470368,1.622370928,2.664994308,160.0,962.0,174.0,0.0,0.0,-0.110283159,0.083073132,-0.129610464,1.0,72.0
1065.61,3.31264,191.718,0.0666754,3.5344,29.80928,42.3,729.0,1.5876,2.28,4752.0,86.0,21.55466667,109.6666667,36.98,0.92,2.456666667,-2.0,-4.333333333,-0.04,-3.366666667,10.9696,74.0,13.0,2.62,-1.666666667,-3.333333333,417.3333333,17.0,29.0,-13.0,177.0,6.12,3.0,7896.0,-0.63,1.152,0.0429777,-51.95864623,6.71e-06,-17.09563573,2.589507294,1.14347907,140.0,962.0,0.0,0.0,14798.0,-0.110283159,0.083073132,-0.129610464,0.0,72.0
7420.99,4.4618,0.343374,0.4165,2.7225,25.542,43.73325,900.0,1.7161,2.595,17280.0,268.0,17.544,122.6666667,28.09,0.89,1.78,-2.111111111,-3.222222222,-0.04,-6.0,11.8336,72.0,8.25,1.78,-2.25,-3.25,677.0,16.0,32.0,-25.77777778,512.0,7.12,-12.0,42448.0,-0.526,1.25,0.000235651,-27.09060537,2.97e-05,-17.02560216,2.57966567,5.674544025,105.0,962.0,31374.0,0.0,0.0,-0.110283159,-0.003003152,0.082883502,1.0,72.0
