mc_CRY-chi-1-all,mc_CRY-Z-3-all,mc_CRY-S-2-all,sum-D_mc_CRY-chi-3-all,func-alpha-2-all,f-lig-T-2,MPC,logKH_CH4,CH4DC,temperature,time
37.7182,5108.25,9.32585,-316.56,0.0,256.0,2.043,-4.702973048,79.35605035,220.0,72.0
27.72,2340.0,7.7683,-123.12,43.99,224.0,1.229,-4.693604999,73.2245465,100.0,48.0
24.624,1624.0,6.3756,-73.62,87.98,190.0,0.904,-4.248154527,29.79070516,25.0,336.0
18.92,1400.0,3.362333333,-53.8,87.98,522.0,1.203,-4.401160269,63.85968733,100.0,60.0
30.66186667,1642.666667,6.308133333,-59.2,0.0,1688.0,1.126,-4.420463336,88.08616604,120.0,72.0
29.5668,1400.0,5.1546,-64.32,87.98,1140.0,1.14,-4.627609095,38.74676772,180.0,40.0
22.704,2130.0,7.53905,-236.48,87.98,522.0,1.23,-4.766384636,47.82885385,130.0,72.0
22.344,2009.285714,5.997085714,-181.12,0.0,456.0,0.91,-5.335651413,183.2841041,85.0,12.0
23.2544,2688.0,4.5584,-31.32,131.8375,410.0,1.256,-5.105718837,179.9139598,100.0,72.0
28.38,1980.0,4.7422,-53.76,144.16,2212.0,1.245,-4.99258084,174.8313785,100.0,48.0
21.02986667,896.0,6.857333333,-332.1,0.0,256.0,1.469,-4.862380075,146.4769758,120.0,120.0
27.06,2100.0,7.0609,-110.96,147.425,338.0,1.224,-4.530360573,27.84218614,100.0,72.0
22.704,4860.0,17.9077,-1117.44,501.72,1050.0,1.132,-4.185918294,44.84744289,90.0,20.0
26.144,1856.0,8.0592,-61.8,0.0,256.0,0.923,-5.300688774,160.534807,100.0,18.0
22.704,2700.0,8.1744,-300.96,0.0,522.0,1.215,-4.899577756,125.163118,110.0,80.0
26.752,3458.25,10.7778,-142.44,343.36,364.0,0.916,-4.747404225,64.96518966,120.0,72.0
21.384,1680.0,6.0522,-44.72,212.0544444,536.0,1.211,-5.181175879,35.62331205,140.0,72.0
35.002,5070.0,10.3488,-42.76,0.0,435.2,1.858,-4.127060372,19.57645596,170.0,72.0
22.116,1392.0,6.0996,-350.88,193.14,580.0,0.935,-5.158445954,180.6809573,75.0,40.0
17.0194,2008.5,7.248625,-282.0,87.98,332.0,1.237,-5.441689915,48.59405652,160.0,60.0
24.768,5040.0,8.7808,-123.84,179.67,700.0,2.084,-4.749043561,121.5121361,80.0,72.0
22.044,1650.0,4.9911,-41.44,116.9488889,320.0,1.235,-4.888925766,100.5076821,160.0,120.0
21.3348,4170.666667,4.363333333,-61.04,225.6285714,2276.0,0.351,-5.289162794,47.0284844,180.0,168.0
